sequence_id,date
A/Ecuador/7643/2019,2019.021
A/Florida/97/2018,2018.829
A/Yamaguchi/35/2019,2019.645
A/Texas/389/2019,2019.629
A/Trinidad/2589/2019,2019.138
A/Sergipe/13445/2020,2020.25
A/CostaRica/4734/2020,2020.455
A/Maryland/42/2019,2019.911
A/Colombia/7389/2019,2019.958
A/Wellington/36/2019,2019.429
A/Norway/2231/2019,2019.621
A/Uruguay/298/2019,2019.481
A/Canberra/337/2019-egg,2019.634
A/Iowa/33/2019,2019.336
A/SantaCatarina/1168/2019,2019.862
A/MogiDasCruzes/1218859-IAL/2019,2019.516
A/RioGrandedoSul/870/2019,2019.59
A/Iowa/23/2020,2020.747
A/Iowa/22/2020-egg,2020.731
A/Nonthaburi/96/2018,2018.955
A/Lipetsk/204/2018,2018.905
A/Estonia/117956/2018,2018.911
A/Catalonia/738728S/2018,2018.979
A/Malta/54659/2019,2019.089
A/SouthAfrica/9499/2019,2019.577
A/Yokohama/109/2018,2018.829
A/Kanagawa/IC1841/2019-egg,2019.045
A/Yokohama/125/2018,2018.884
A/Zhejiang-Shangcheng/SWL1788/2019,2019.73
A/Greece/144/2019-egg,2019.037
A/HongKong/105/2019,2019.001
A/Visby/1/2019,2019.023
A/Yokosuka/16/2019,2019.018
A/Yokohama/98/2019,2019.105
A/Sydney/193/2018,2018.936
A/Neimenggu-Xilinhaote/1259/2019,2019.193
A/Kanagawa/IC1892/2019,2019.075
A/Nigeria/4098/2019,2019.634
A/Qatar/24-VI-19-0043262/2019,2019.511
A/Madagascar/5415/2019,2019.689
A/Toamasina/806/2020,2020.13
A/Toamasina/357/2020,2020.078
A/Toamasina/6838/2019,2019.908
A/Switzerland/9078/2019,2019.125
A/SriLanka/40/2019,2019.59
A/HongKong/3036/2019,2019.538
A/Norway/3433/2018,2018.829
A/Norway/2223/2019,2019.566
A/Paraguay/9858/2019,2019.223
A/Switzerland/3847/2019,2019.248
A/Victoria/2031/2019,2019.045
A/Tokyo/19083/2019,2019.363
A/Yangon/19M052/2019,2019.508
A/Yangon/19M292/2019,2019.585
A/WallisAndFutuna/4/2019,2019.193
A/Bangladesh/3029/2019,2019.218
A/Latvia/10-025804/2019,2019.771
A/Yunnan-Linxiang/SWL131/2021,2021.193
A/Lao/684/2020,2020.149
A/Lao/879/2020,2020.206
A/SriLanka/52/2018,2018.84
A/Macau/606098/2019,2019.604
A/StPetersburg/RII-233/2019,2019.141
A/Kazakhstan/9/2019,2019.059
A/Yokohama/142/2019,2019.182
A/Iowa/59/2018-egg,2018.7
A/SriLanka/20/2019,2019.418
A/Yasothon/2273/2019,2019.47
A/Bangladesh/3/2018,2018.927
A/Darwin/6/2018,2018.84
A/Iowa/59/2018,2018.7
A/Nebraska/15/2018,2018.93
A/Wisconsin/505/2018,2018.886
A/Victoria/2817/2019,2019.64
A/Victoria/761/2019,2019.377
A/Tanzania/821/2019,2019.221
A/Victoria/255/2019,2019.675
A/Victoria/2761/2019,2019.574
A/Bhutan/1058/2019,2019.267
A/Bhutan/860/2019,2019.021
A/Bulgaria/13/2019,2019.007
A/CzechRepublic/2018/2018,2018.87
