sequence_id,date,clade,subclade,region,country
A/Hainan-Baotinglizumiaozuzizhi/35/2022,2022.451,1a.1,F.1.1,China,China
A/Zhejiang-Nanhu/1746/2022,2022.547,1a.1,F.1.1,China,China
A/Zhejiang-Shangcheng/11000/2022,2022.667,1a.1,F.1.1,China,China
A/Shanghai/YP1136C2/2023,2023.073,1a.1,F.1.1,China,China
A/Zhejiang-Yuecheng/1906/2023,2023.67,1a.1,F.1.1,China,China
A/India/Pun-NIV290244/2021,2021.032,2,G,South Asia,India
A/Wisconsin/2/2021,2021.062,2d,G.4,North America,USA
A/Kenya/111/2021,2021.133,2d,G.4,Africa,Kenya
A/AbuDhabi/2210622842/2021,2021.168,2d,G.4,West Asia,United Arab Emirates
A/AbuDhabi/2210332924/2021,2021.103,2d,G.4,West Asia,United Arab Emirates
A/Nepal/20FL2312/2020,2020.966,2,G,South Asia,Nepal
A/Nepal/21FL0201/2021,2021.086,2,G,South Asia,Nepal
A/SchleswigHolstein/1/2021,2021.873,2,G,Europe,Germany
A/Michigan/173/2020,2020.884,2,G,North America,USA
A/Michigan/173/2020-egg,2020.884,2,G,North America,USA
A/India/PUN-NIV298154/2021,2021.24,2c,G.3,South Asia,India
A/Pennsylvania/1/2021,2021.212,2c,G.3,North America,USA
A/India/PUN-NIV312063/2021,2021.352,2c,G.3,South Asia,India
A/SouthAfrica/R07089/2022,2022.429,2c,G.3,Africa,South Africa
A/NewYork/2/2021,2021.541,2c,G.3,North America,USA
A/AbuDhabi/2211541032/2021,2021.421,2c,G.3,West Asia,United Arab Emirates
A/Minnesota/2/2021,2021.459,2c,G.3,North America,USA
A/Darwin/45/2021,2021.818,2c,G.3,Oceania,Australia
A/Darwin/36/2021-egg,2021.736,2c,G.3,Oceania,Australia
A/Darwin/36/2021,2021.736,2c,G.3,Oceania,Australia
A/Moscow/6/2022,2022.051,2c,G.3,West Asia,Russia
A/Netherlands/9/2022,2022.012,2c,G.3,Europe,Netherlands
A/Bangladesh/3005/2020-egg,2020.673,2,G,Oceania,Australia
A/Bangladesh/911009/2020-egg,2020.673,2,G,South Asia,Bangladesh
A/Salalah/520266545/2020,2020.761,2,G,West Asia,Oman
A/Bangladesh/1006/2020,2020.652,2,G,North America,USA
A/Bangladesh/10006/2020,2020.652,2,G,South Asia,Bangladesh
A/Bangladesh/911009/2020,2020.673,2,G,South Asia,Bangladesh
A/Bangladesh/4005/2020,2020.758,2,G,South Asia,Bangladesh
A/AbuDhabi/390121/2021,2021.04,2,G,West Asia,United Arab Emirates
A/Yekaterinburg/10-01V/2021,2021.645,2,G,West Asia,Russia
A/Tyumen/1V/2021,2021.577,2,G,West Asia,Russia
A/Netherlands/717/2022,2022.245,2b,G.2,Europe,Netherlands
A/Netherlands/999/2022,2022.347,2b,G.2.1,Europe,Netherlands
A/Sendai/45/2023,2023.689,2b,G.2.1,Japan Korea,Japan
A/Yokosuka/2/2023,2023.722,2b,G.2.1,Japan Korea,Japan
A/Yamaguchi/22FS212_2/2022,2023.429,2b,G.2.1,Japan Korea,Japan
A/Yamaguchi/22FS212/2022,2022.412,2b,G.2.1,Japan Korea,Japan
A/Shizuoka/20/2023,2023.177,2b,G.2.1,Japan Korea,Japan
A/Trnava/97/2022,2022.952,2b,G.2.1,Europe,Slovakia
A/Montana/8/2023,2023.023,2b,G.2.1,North America,USA
A/Latvia/12-084272/2022,2022.988,2b,G.2.1,Europe,Latvia
A/VelikyNovgorod/RII-MH132654S/2023,2023.111,2b,G.2.1,West Asia,Russia
A/Veneto/USAFSAM-14144/2023,2023.1,2b,G.2.1,Europe,Italy
A/Albania/289788/2022,2022.697,2b,G.2.1,Europe,Albania
A/Lisbon/6/2023,2023.067,2b,G.2.2,Europe,Portugal
A/Lisbon/532/2022,2022.711,2b,G.2.2,Europe,Portugal
A/Greece/ILI_249/2023,2023.01,2b,G.2.2,Europe,Greece
A/Romania/94/2023,2023.122,2b,G.2.2,Europe,Romania
A/Guyane/187/2023,2023.152,2b,G.2.2,South America,French Guiana
A/Yokohama/4/2022,2022.947,2b,G.2.2,Japan Korea,Japan
A/Yokohama/100/2023,2023.527,2b,G.2.2,Japan Korea,Japan
A/Yokohama/90/2023,2023.267,2b,G.2.2,Japan Korea,Japan
A/Yokohama/78/2023,2023.207,2b,G.2.2,Japan Korea,Japan
A/Guatemala/667/2023,2023.418,2b,G.2,North America,Guatemala
A/Bahrain/8523/2022,2022.533,2b,G.2,West Asia,Bahrain
A/Maldives/765/2022,2022.656,2b,G.2,South Asia,Maldives
A/AbuDhabi/7444/2022,2022.892,2b,G.2,West Asia,United Arab Emirates
A/Lebanon/175/2022,2022.933,2b,G.2,West Asia,Lebanon
A/MountLebanon/65/2023,2023.023,2b,G.2,West Asia,Lebanon
A/SouthAfrica/PET28078/2023,2023.226,2b,G.2,Africa,South Africa
A/Utah/15/2023,2023.1,2b,G.2,North America,USA
A/Victoria/5165/2022,2022.826,2b,G.2,Oceania,Australia
A/Bahrain/1241/2022,2022.796,2b,G.2,West Asia,Bahrain
A/Victoria/342/2023,2023.221,2b,G.2,Oceania,Australia
A/Victoria/260/2023,2023.199,2b,G.2,Oceania,Australia
A/Victoria/164/2023,2023.193,2b,G.2,Oceania,Australia
A/Washington/44/2022,2022.612,2b,G.2,North America,USA
A/Sidon/S0213/2022,2022.919,2b,G.2,West Asia,Lebanon
A/Sidon/S0212/2022,2022.933,2b,G.2,West Asia,Lebanon
A/Moulins/R2232198/2022,2022.549,2b,G.2,Europe,France
A/Florida/57/2022,2022.41,2b,G.2,North America,USA
A/Yamaguchi/25/2023,2023.36,2b,G.2,Japan Korea,Japan
A/Victoria/5290/2022,2022.985,2b,G.2,Oceania,Australia
A/Pennsylvania/45/2022,2022.527,2b,G.2,North America,USA
A/Trinidad/2141/2023,2023.051,2b,G.2,South America,Trinidad and Tobago
A/Santiago/133908/2022,2022.908,2b,G.2,South America,Chile
A/Pennsylvania/37/2023,2023.163,2b,G.2,North America,USA
A/Santiago/133909/2022,2022.908,2b,G.2,South America,Chile
A/Mississippi/40/2022,2022.889,2b,G.2,North America,USA
A/Rondonia/357218507-IAL/2023,2023.467,2b,G.2,South America,Brazil
A/Darwin/11/2021,2021.3,2a,G.1,Oceania,Australia
A/NorthernTerritory/ATCC-9/2021,2021.256,2a,G.1,Oceania,Australia
A/Darwin/9/2021-egg,2021.292,2a,G.1,Oceania,Australia
A/Darwin/9/2021,2021.292,2a,G.1,Oceania,Australia
A/Stockholm/5/2021,2021.289,2a,G.1,Europe,Sweden
A/TimorLeste/98/2022,2022.179,2a,G.1,Southeast Asia,East Timor
A/TimorLeste/64/2022,2022.144,2a,G.1,Southeast Asia,East Timor
A/Guyane/130/2022,2022.086,2a,G.1,South America,French Guiana
A/India/2153/2021,2021.648,2a,G.1,South Asia,India
A/Nevada/8/2022,2022.182,2a,G.1,North America,USA
A/Tokyo/22024/2022,2022.568,2a,G.1,Japan Korea,Japan
A/Yamaguchi/1/2022,2022.629,2a,G.1,Japan Korea,Japan
A/Yamaguchi/2/2022,2022.67,2a,G.1,Japan Korea,Japan
A/Delaware/1/2021,2021.289,2a,G.1,North America,USA
A/Singapore/INFTT0002/2021,2021.533,2a,G.1,Southeast Asia,Singapore
A/Canterbury/1/2021,2021.533,2a,G.1,Oceania,New Zealand
A/Philippines/24/2021,2021.922,2a,G.1,Southeast Asia,Philippines
A/Philippines/21/2021,2021.823,2a,G.1,Southeast Asia,Philippines
A/Darwin/6/2021-egg,2021.204,2a,G.1,Oceania,Australia
A/Darwin/6/2021,2021.204,2a,G.1,Oceania,Australia
A/Moscow/2/2021,2021.338,2a.2,G.1.2,West Asia,Russia
A/StPetersburg/RII-09/2021,2021.842,2a.2,G.1.2,West Asia,Russia
A/Voronezh/8/2021,2021.708,2a.2,G.1.2,West Asia,Russia
A/Victoria/4411c/2022,2022.582,2a.2,G.1.2,Oceania,Australia
A/Netherlands/718/2022,2022.242,2a.2,G.1.2,Europe,Netherlands
A/Vladivostok/NRCEM-13/2022,2022.168,2a.2,G.1.2,West Asia,Russia
A/Switzerland/9650/2022,2022.311,2a.2,G.1.2,Europe,Switzerland
A/India/Pune-Nivari_22_31/2022,2022.486,2a,G.1,South Asia,India
A/Thuringen/6/2022,2022.16,2a.1,G.1.1,Europe,Germany
A/Thuringen/4/2022,2022.122,2a.1,G.1.1,Europe,Germany
A/California/1/2022,2022.01,2a.1,G.1.1,North America,USA
A/Belgium/S0003/2022,2022.012,2a.1,G.1.1,Europe,Belgium
A/Poland/PL39/2022,2022.133,2a.1,G.1.1,Europe,Poland
A/Uvs/61060/2022,2022.316,2a.1,G.1.1,West Asia,Mongolia
A/Estonia/168142/2022,2022.012,2a.1,G.1.1,Europe,Estonia
A/Wisconsin/38/2023,2023.259,2a.1,G.1.1,North America,USA
A/Victoria/993/2022,2022.322,2a.1,G.1.1,Oceania,Australia
A/Victoria/72/2022,2022.245,2a.1,G.1.1,Oceania,Australia
A/Wellington/9/2022,2022.393,2a.1,G.1.1,Oceania,New Zealand
A/NewZealand/306/2022,2022.475,2a.1,G.1.1,Oceania,New Zealand
A/Victoria/4844/2022,2022.508,2a.1,G.1.1,Oceania,Australia
A/Uppsala/5/2021,2021.829,2a.1,G.1.1,Europe,Sweden
A/Tunisia/1580/2022,2022.204,2a.1,G.1.1,Africa,Tunisia
A/Thuringen/23/2022,2022.41,2a.1,G.1.1,Europe,Germany
A/UnitedKingdom/13320/2022,2022.377,2a.1,G.1.1,Europe,United Kingdom
