sequence_id,date
A/Pennsylvania/1026/2019-egg,2019.842
A/Pennsylvania/1026/2019,2019.768
A/Bangladesh/18-1012/2019,2019.799
A/Nepal/20FL1005/2020,2020.217
A/SouthAuckland/2/2020,2020.988
A/Wisconsin/52/2020,2020.193
A/Yunnan-Linxiang/1480/2020,2020.764
A/Zhejiang-Xihu/3108/2019,2019.292
A/HongKong/2671/2019,2019.459
A/HongKong/2671/2019-egg,2019.459
A/Yunnan-Qilin/11/2020,2020.007
A/Yunnan-Wenshan/1269/2020,2020.209
A/Yunnan-Wenshan/1489/2020,2020.439
A/Yunnan-Wenshan/1606/2020,2020.553
A/Yunnan-Wenshan/1218/2021,2021.201
A/Yunnan-Wenshan/1435/2020,2020.362
A/Zhejiang-Shangcheng/1450/2019,2019.423
A/Yunnan-Linxiang/1670/2020,2020.9
A/Victoria/7/2020,2020.01
A/Lao/1789/2019,2019.497
A/Saitama/95/2020,2020.217
A/Nonthaburi/63/2020,2020.173
A/Cambodia/e0403374/2020,2020.184
A/HongKong/4669/2019,2019.963
A/Zhejiang-Lucheng/11038/2019,2019.862
A/Zhejiang-Shangcheng/1725/2019,2019.673
A/Yunnan-Wuhua/1670/2019,2019.637
A/Yunnan-Gucheng/1268/2020,2020.1
A/Yokohama/34/2020,2020.053
A/Nepal/19FL1496/2019,2019.141
A/Vitebsk/927/2019,2019.16
A/Constanta/239165/2018,2018.933
A/NewHampshire/24/2018,2018.558
A/LaRioja/2202/2018,2018.251
A/Maine/46/2018,2018.993
A/Santiago/38093/2018,2018.347
A/Netherlands/10601/2018,2018.79
A/Argentina/934/2019,2019.481
A/Bolivia/237/2019,2019.095
A/Concepcion/106858/2018,2018.922
A/Ecuador/1246/2018,2018.886
A/Colombia/4140/2019,2019.316
A/Peru/3819/2019,2019.344
A/Ecuador/4472/2019,2019.026
A/HongKong/1101/2018,2018.445
A/Togo/299/2019,2019.152
A/Trnava/70/2019,2019.042
A/Orsha/1450/2019,2019.174
A/Moscow/220/2018,2018.968
A/BosniaHerzegovina/87911/2019,2019.275
A/Macedonia/737/2019,2019.078
A/Kenya/130/2019,2019.503
A/Mozambique/243/2019,2019.212
A/Togo/717/2019,2019.47
A/BurkinaFaso/1449/2019,2019.037
A/Lebanon/231/2019,2019.081
A/StPetersburg/RII-322/2019,2019.267
A/Serbia/584/2019,2019.147
